Timestamp,Ticker,Weighted_Score,Polarized_Score,Articles_Count
2026-06-28 10:57:03,WIPRO.NS,1.0,1.0,1
2026-06-28 10:57:19,GRASIM.NS,0.6,1.0,5
2026-06-28 10:57:23,TECHM.NS,0.6,1.0,5
2026-06-28 10:57:30,RECLTD.NS,0.0,0.0,1
2026-06-28 10:57:34,PFC.NS,0.67,1.0,3
2026-06-28 10:57:47,BHEL.NS,0.5,1.0,4
2026-06-28 10:57:51,TRENT.NS,0.5,1.0,2
2026-06-28 10:57:58,VOLTAS.NS,0.0,0.0,4
2026-06-28 10:58:01,LUPIN.NS,1.0,1.0,1
2026-06-28 10:58:05,AUBANK.NS,0.8,1.0,5
2026-06-28 10:58:28,SAIL.NS,0.4,1.0,5
2026-06-28 10:58:35,SUZLON.NS,0.2,1.0,5
2026-06-28 10:58:39,RVNL.NS,0.75,1.0,4
2026-06-28 10:58:42,IRFC.NS,1.0,1.0,4
2026-06-28 10:58:46,NHPC.NS,0.6,1.0,5
2026-06-28 10:58:49,SJVN.NS,0.75,1.0,4
2026-06-28 10:58:53,NBCC.NS,0.6,1.0,5
2026-06-28 10:59:16,RITES.NS,1.0,1.0,4
2026-06-28 10:59:23,IRCON.NS,1.0,1.0,1
2026-06-28 10:59:27,RADICO.NS,0.2,0.33,5
2026-06-28 10:59:37,IDEA.NS,0.0,0.0,5
2026-06-28 10:59:44,JIOFIN.NS,0.4,1.0,5
2026-06-28 10:59:55,AAPL,-0.15,-0.43,20
2026-06-28 10:59:59,MSFT,0.2,0.67,20
2026-06-28 11:00:04,GOOGL,-0.15,-0.6,20
2026-06-28 11:00:09,TSLA,0.2,0.5,20
2026-06-28 11:00:13,NVDA,-0.1,-1.0,20
2026-06-28 11:00:16,^NSEI,0.25,1.0,4
2026-06-28 11:00:21,^GSPC,0.05,0.14,20
2026-06-28 11:00:26,^IXIC,-0.3,-0.6,20
2026-06-28 11:00:29,USO,-1.0,-1.0,5
2026-06-29 16:41:52,TCS.NS,-1.0,-1.0,1
2026-06-29 16:42:02,INFY.NS,0.0,0.0,5
2026-06-29 16:42:05,ITC.NS,0.67,1.0,3
2026-06-29 16:42:09,SBIN.NS,0.0,0.0,1
2026-06-29 16:42:15,LT.NS,0.4,0.5,5
2026-06-29 16:42:25,TMCV.NS,0.6,1.0,5
2026-06-29 16:42:35,TITAN.NS,-0.25,-0.33,4
2026-06-29 16:42:44,NTPC.NS,0.8,1.0,5
2026-06-29 16:42:48,ONGC.NS,0.6,1.0,5
2026-06-29 16:42:54,WIPRO.NS,0.4,0.5,5
2026-06-29 16:43:10,GRASIM.NS,0.6,1.0,5
2026-06-29 16:43:14,TECHM.NS,0.6,1.0,5
2026-06-29 16:43:20,RECLTD.NS,0.0,0.0,1
2026-06-29 16:43:24,PFC.NS,0.67,1.0,3
2026-06-29 16:43:36,BHEL.NS,0.5,1.0,4
2026-06-29 16:43:40,TRENT.NS,0.5,1.0,2
2026-06-29 16:43:46,VOLTAS.NS,0.0,0.0,4
2026-06-29 16:43:50,LUPIN.NS,0.8,1.0,5
2026-06-29 16:43:53,AUBANK.NS,0.8,1.0,5
2026-06-29 16:44:16,SAIL.NS,0.4,1.0,5
2026-06-29 16:44:22,SUZLON.NS,0.2,1.0,5
2026-06-29 16:44:26,RVNL.NS,0.75,1.0,4
2026-06-29 16:44:29,IRFC.NS,1.0,1.0,4
2026-06-29 16:44:33,NHPC.NS,0.6,1.0,5
2026-06-29 16:44:36,SJVN.NS,0.75,1.0,4
2026-06-29 16:44:40,NBCC.NS,0.6,1.0,5
2026-06-29 16:45:02,RITES.NS,1.0,1.0,4
2026-06-29 16:45:09,IRCON.NS,1.0,1.0,1
2026-06-29 16:45:12,RADICO.NS,0.2,0.33,5
2026-06-29 16:45:22,IDEA.NS,0.0,0.0,5
2026-06-29 16:45:28,JIOFIN.NS,0.4,1.0,5
2026-06-29 16:45:39,AAPL,-0.1,-0.14,20
2026-06-29 16:45:43,MSFT,0.1,0.17,20
2026-06-29 16:45:47,GOOGL,0.2,0.4,20
2026-06-29 16:45:52,TSLA,0.35,0.54,20
2026-06-29 16:45:56,NVDA,-0.1,-0.33,20
2026-06-29 16:45:59,^NSEI,0.25,1.0,4
2026-06-29 16:46:03,^GSPC,0.05,0.2,20
2026-06-29 16:46:07,^IXIC,0.05,0.09,20
2026-06-29 16:46:11,USO,1.0,1.0,3
2026-06-30 12:00:51,TCS.NS,-1.0,-1.0,1
2026-06-30 12:01:01,INFY.NS,0.0,0.0,5
2026-06-30 12:01:05,ITC.NS,0.67,1.0,3
2026-06-30 12:01:08,SBIN.NS,0.0,0.0,2
2026-06-30 12:01:15,LT.NS,0.4,0.5,5
2026-06-30 12:01:25,TMCV.NS,0.6,1.0,5
2026-06-30 12:01:35,TITAN.NS,-0.25,-0.33,4
2026-06-30 12:01:45,NTPC.NS,0.8,1.0,5
2026-06-30 12:01:49,ONGC.NS,0.6,1.0,5
2026-06-30 12:01:56,WIPRO.NS,0.4,0.5,5
2026-06-30 12:02:13,GRASIM.NS,0.6,1.0,5
2026-06-30 12:02:16,TECHM.NS,1.0,1.0,1
2026-06-30 12:02:23,RECLTD.NS,0.0,0.0,1
2026-06-30 12:02:26,PFC.NS,0.67,1.0,3
2026-06-30 12:02:39,BHEL.NS,0.5,1.0,4
2026-06-30 12:02:43,TRENT.NS,0.5,1.0,2
2026-06-30 12:02:50,VOLTAS.NS,0.0,0.0,4
2026-06-30 12:02:53,LUPIN.NS,0.8,1.0,5
2026-06-30 12:02:57,AUBANK.NS,0.8,1.0,5
2026-06-30 12:03:20,SAIL.NS,0.4,1.0,5
2026-06-30 12:03:27,SUZLON.NS,0.2,1.0,5
2026-06-30 12:03:30,RVNL.NS,0.75,1.0,4
2026-06-30 12:03:34,IRFC.NS,1.0,1.0,4
2026-06-30 12:03:37,NHPC.NS,0.6,1.0,5
2026-06-30 12:03:41,SJVN.NS,0.75,1.0,4
2026-06-30 12:03:45,NBCC.NS,0.6,1.0,5
2026-06-30 12:04:08,RITES.NS,1.0,1.0,4
2026-06-30 12:04:14,IRCON.NS,1.0,1.0,1
2026-06-30 12:04:18,RADICO.NS,0.2,0.33,5
2026-06-30 12:04:28,IDEA.NS,0.0,0.0,5
2026-06-30 12:04:35,JIOFIN.NS,0.4,1.0,5
2026-06-30 12:04:46,AAPL,-0.15,-0.43,20
2026-06-30 12:04:50,MSFT,0.25,0.45,20
2026-06-30 12:04:55,GOOGL,0.2,0.67,20
2026-06-30 12:04:59,TSLA,0.25,0.45,20
2026-06-30 12:05:03,NVDA,0.15,0.6,20
2026-06-30 12:05:07,^NSEI,0.25,1.0,4
2026-06-30 12:05:11,^GSPC,0.2,0.4,20
2026-06-30 12:05:15,^IXIC,0.05,0.11,20
2026-06-30 12:05:19,USO,1.0,1.0,3
2026-07-01 12:26:57,TCS.NS,-0.6,-1.0,5
2026-07-01 12:27:06,INFY.NS,0.0,0.0,5
2026-07-01 12:27:13,SBIN.NS,0.0,0.0,2
2026-07-01 12:27:19,LT.NS,0.4,0.5,5
2026-07-01 12:27:29,TMCV.NS,0.0,0.0,1
2026-07-01 12:27:38,TITAN.NS,0.0,0.0,3
2026-07-01 12:27:48,NTPC.NS,0.8,1.0,5
2026-07-01 12:27:52,ONGC.NS,0.6,1.0,5
2026-07-01 12:27:58,WIPRO.NS,0.0,0.0,1
2026-07-01 12:28:14,GRASIM.NS,0.6,1.0,5
2026-07-01 12:28:17,TECHM.NS,0.0,0.0,2
2026-07-01 12:28:24,RECLTD.NS,0.0,0.0,1
2026-07-01 12:28:27,PFC.NS,1.0,1.0,2
2026-07-01 12:28:40,BHEL.NS,0.5,1.0,4
2026-07-01 12:28:43,TRENT.NS,0.5,1.0,2
2026-07-01 12:28:49,VOLTAS.NS,0.0,0.0,4
